"lake.name","Year","avg","stdev"
"Raquette",2004,0.24,0.29698484809835
"Raquette",2005,0.015,0.00707106781186548
"Raquette",2006,0.005,0.00707106781186548
"Rondaxe",1994,0,0
"Rondaxe",1995,0.01,0
"Rondaxe",1996,0.0266666666666667,0.0208166599946613
"Rondaxe",1997,0.02,0.014142135623731
"Rondaxe",1998,0.01,0
"Rondaxe",1999,0.03,0
"Rondaxe",2000,0.03,0.014142135623731
"Rondaxe",2001,0.005,0.00707106781186548
"Rondaxe",2002,0.02,0.014142135623731
"Rondaxe",2003,0.055,0.0494974746830583
"Rondaxe",2004,0.03,0.0424264068711929
"Rondaxe",2005,0.08,0.0989949493661166
"Rondaxe",2006,0.01,0.014142135623731
"Rondaxe",2007,0.07,0
"Rondaxe",2008,0.01,0
"Rondaxe",2010,0.015,0.00707106781186548
"Rondaxe",2011,0.005,0.00707106781186548
"Rondaxe",2012,0.01,NA
"Sagamore",1994,0.0166666666666667,0.0208166599946613
"Sagamore",1995,0.0133333333333333,0.00577350269189626
"Sagamore",1996,0.02,0.0173205080756888
"Sagamore",1997,0.005,0.00707106781186548
"Sagamore",1998,0.01,0.014142135623731
"Sagamore",1999,0.035,0.00707106781186548
"Sagamore",2000,0.02,0.014142135623731
"Sagamore",2001,0.01,0
"Sagamore",2002,0.02,0.014142135623731
"Sagamore",2003,0.04,0
"Sagamore",2004,0.02,0.014142135623731
"Sagamore",2005,0.02,0
"Sagamore",2006,0.025,0.0212132034355964
"Sagamore",2007,0.05,0.0565685424949238
"Sagamore",2008,0.01,NA
"Sagamore",2010,0.015,0.00707106781186548
"Sagamore",2011,0.015,0.00707106781186548
"Sagamore",2012,0.02,NA
"South",1994,0.0266666666666667,0.023094010767585
"South",1995,0.01,0
"South",1996,0.0333333333333333,0.0115470053837925
"South",1997,0.065,0.0494974746830583
"South",1998,0.015,0.00707106781186548
"South",1999,0.075,0.0636396103067893
"South",2000,0.21,0.226274169979695
"South",2001,0.02,0.014142135623731
"South",2002,0.01,0.014142135623731
"South",2003,0.04,0.014142135623731
"South",2004,0.055,0.00707106781186547
"South",2005,0.07,0.0282842712474619
"South",2006,0.06,0.0565685424949238
"South",2007,0.015,0.00707106781186548
"South",2008,0.045,0.0212132034355964
"South",2010,0.005,0.00707106781186548
"South",2011,0.01,0
"South",2012,0.05,NA
"Squash",1994,0.0133333333333333,0.0152752523165195
"Squash",1995,0.0433333333333333,0.0288675134594813
"Squash",1996,0.0333333333333333,0.0404145188432738
"Squash",1997,0.03,0
"Squash",1998,0.015,0.00707106781186548
"Squash",1999,0.045,0.0212132034355964
"Squash",2000,0.055,0.00707106781186547
"Squash",2001,0.11,0.0565685424949238
"Squash",2002,0.03,0
"Squash",2003,0.045,0.0212132034355964
"Squash",2004,0.06,0.014142135623731
"Squash",2005,0.065,0.0353553390593274
"Squash",2006,0.115,0.0494974746830583
"Squaw",1994,0.01,0.01
"Squaw",1995,0.0233333333333333,0.0208166599946613
"Squaw",1996,0.05,0.02
"Squaw",1997,0.035,0.0212132034355964
"Squaw",1998,0.05,0.0282842712474619
"Squaw",1999,0.03,0.014142135623731
"Squaw",2000,0.04,0.0282842712474619
"Squaw",2001,0.02,0
"Squaw",2002,0,0
"Squaw",2003,0.005,0.00707106781186548
"Squaw",2004,0.01,0
"Squaw",2005,0.01,0
"Squaw",2006,0,0
"Squaw",2007,0.02,0
"Squaw",2008,0,0
"Squaw",2010,0.02,0.014142135623731
"Squaw",2011,0,0
"Squaw",2012,0.02,NA
"West",1994,0.02,0.01
